,first_name,author_id,full_name,is_initial,gender
227,Ida,38785989,Ida C. Lopez,False,female
228,João,145638470,João V. B. Soares,False,mostly_male
229,Thomas,34779808,Thomas M. Connolly,False,male
230,Elizabeth,39877805,Elizabeth A. Boyle,False,female
231,Ewan,33139787,Ewan MacArthur,False,male
232,Thomas,1719255,Thomas Hainey,False,male
233,James,144547576,James M. Boyle,False,male
234,Siddharth,3087304,Siddharth S. Rautaray,False,unknown
235,Anupam,7389279,Anupam Agrawal,False,male
236,Joseph,3583875,Joseph H. Abramson,False,male
237,Markus,3288647,Markus A. Lill,False,male
238,Matthew,7573277,Matthew L. Danielson,False,male
239,Siamac,3050606,Siamac Fazli,False,unknown
240,Jan,2245269,Jan Mehnert,False,male
241,Jens,1962461,Jens Steinbrink,False,male
242,Gabriel,3073253,Gabriel Curio,False,male
243,Arno,1738739,Arno Villringer,False,male
244,Klaus-Robert,145034054,Klaus-Robert Müller,False,unknown
245,Benjamin,3156886,Benjamin Blankertz,False,male
246,Thomas,1715052,Thomas Jansen,False,male
247,Mosharaf,2579531,Mosharaf Chowdhury,False,unknown
248,Matei,143834867,Matei Zaharia,False,male
249,Justin,3376832,Justin Ma,False,male
250,Michael,1694621,Michael I. Jordan,False,male
251,Ion,144467753,Ion Stoica,False,male
252,Jose,40083833,Jose Ignacio Agulleiro Baldo,False,male
253,José-Jesús,39866526,José-Jesús Fernández,False,unknown
254,Cheng,1868814,Cheng Si,False,andy
255,Arlin,21175651,Arlin Epperson,False,male
256,Abdulhak,66460520,Abdulhak Halim Ula,False,unknown
257,Ketrina,2867478,Ketrina Yim,False,unknown
258,Daniel,145151213,Daniel D. Garcia,False,male
259,Sally,1971348,Sally Ahn,False,female
260,Harold,1401249550,Harold F. O'Neil,False,male
261,San-Hui,2113709,San-Hui Chuang,False,unknown
262,Eva,11246057,Eva L. Baker,False,female
263,,67260698,芦原浩司,False,unknown
264,,66877754,大和纯,False,unknown
265,,152383379,大和纯一,False,unknown
266,Desney,1719056,Desney S. Tan,False,unknown
267,Antinus,144483473,Antinus Nijholt,False,male
268,Rob,32474617,Rob Barton,False,male
269,Jinchang,145811527,Jinchang Ren,False,unknown
270,Theodore,2029719,Theodore Vlachos,False,male
271,Vasileios,1689047,Vasileios Argyriou,False,male
272,Deborah,2683801,Deborah W. Seehorn,False,female
273,Stephen,2691859,Stephen J. Carey,False,male
274,Brian,2604153,Brian Fuschetto,False,male
275,Irene,121056055,Irene Lee,False,female
276,D.,2073436,D. Moix,True,unknown
277,Dianne,1409266227,Dianne O'Grady-Cunniff,False,female
278,Barbara,35229605,Barbara Boucher Owens,False,female
279,Chris,145107217,Chris Stephenson,False,mostly_male
280,Anita,3137194,Anita Verno,False,female
281,Mansureh,3188594,Mansureh Kebritchi,False,unknown
282,Atsusi,3092102,Atsusi Hirumi,False,unknown
283,Haiyan,2252895,Haiyan Bai,False,unknown
284,José,1716694,José del R. Millán,False,male
285,Rüdiger,153091219,Rüdiger Rupp,False,male
286,Gernot,1397903731,Gernot R. Müller-Putz,False,male
287,Roderick,1402170019,Roderick Murray-Smith,False,male
288,C.,1409137157,C. Giugliemma,True,unknown
289,Michael,2345823,Michael Tangermann,False,male
290,Carmen,1408270452,Carmen Vidaurre,False,female
291,Felice,98317026,Felice Cincotti,False,male
292,Andrea,144792337,Andrea Kübler,False,female
293,Robert,2656568,Robert Leeb,False,male
294,Christa,2669730,Christa Neuper,False,female
295,Klaus-Robert,145838768,Klaus-Robert Müller,False,unknown
296,Donatella,2481708,Donatella Mattia,False,female
297,Catherine,145056470,Catherine L. Anderson,False,female
298,Ritu,1700216,Ritu Agarwal,False,female
299,Andreas,47551615,Andreas Marx,False,male
300,Fabian,46905197,Fabian Beck,False,male
301,Stephan,1680836,Stephan Diehl,False,male
302,Henri,144680288,Henri E. Bal,False,male
303,Jason,144103378,Jason Maassen,False,male
304,Rob,3357424,Rob van Nieuwpoort,False,male
305,Niels,1769279,Niels Drost,False,male
306,Roelof,21155683,Roelof Kemp,False,male
307,Nick,144245780,Nick Palmer,False,male
308,Thilo,1687898,Thilo Kielmann,False,male
309,Frank,1790652,Frank J. Seinstra,False,male
310,Ceriel,145219982,Ceriel J. H. Jacobs,False,unknown
311,Robert,80205575,Robert Pierce,False,male
312,Manuela,145310464,Manuela Aparicio,False,female
313,Ariel,3324168,Ariel Futoransky,False,male
314,Luciano,2270282,Luciano Notarfrancesco,False,male
315,Gerardo,3199783,Gerardo Richarte,False,male
316,Carlos,2414047,Carlos Sarraute,False,male
317,Sami,1918959,Sami Benzaid,False,male
318,Prasun,1698932,Prasun Dewan,False,unknown
319,Pedro,3228297,Pedro Reviriego,False,male
320,Juan,2229838,Juan Antonio Maestro,False,male
321,Sanghyeon,48719535,Sanghyeon Baeg,False,unknown
322,Mordechai,2038221,Mordechai Haklay,False,male
323,Artemis,2082840,Artemis Skarlatidou,False,female
324,Alcides,122661603,Alcides Alvear Suárez,False,male
325,Raymond,70221678,Raymond Borges Hink,False,male
326,Michael,143739424,Michael Sanford,False,male
327,Albert,34776483,Albert van der Heide,False,male
328,Gracián,1700363,Gracián Triviño,False,unknown
329,Thomas,1981539,Thomas Serre,False,male
330,Tomaso,1685292,Tomaso A. Poggio,False,male
331,Kentaro,1769685,Kentaro Toyama,False,male
332,Sujandharan,47956212,Sujandharan Venkatachalam,False,unknown
333,Jakub,38662420,Jakub Stastný,False,male
334,Jaromir,36080062,Jaromir Dolezal,False,male
335,Vladimír,46609185,Vladimír Cerný,False,male
336,Jan,1798813,Jan Kubovy,False,male
337,Jörg,144908539,Jörg Bornschein,False,male
338,Zhenwhen,116737167,Zhenwhen Dai,False,unknown
339,Robert,46261535,Robert B. Whitaker,False,male
340,Gerry,1708842,Gerry Stahl,False,mostly_male
341,Richard,1403929555,Richard Arias-Hernández,False,male
342,John,144566293,John Dill,False,male
343,Brian,145340091,Brian D. Fisher,False,male
344,Tera,2983284,Tera Marie Green,False,female
345,Siska,3306148,Siska Fitrianie,False,female
346,Zhenke,34942825,Zhenke Yang,False,unknown
347,Dragos,69514575,Dragos Datcu,False,unknown
348,Alin,2335060,Alin Gavril Chitu,False,male
349,Léon,1713654,Léon J. M. Rothkrantz,False,male
350,Muhammad,116667387,Muhammad Husni,False,male
351,Nanna,1834435,Nanna Suryana,False,female
352,Sidney,1383996606,Sidney K. D'Mello,False,mostly_male
353,Patrick,145673635,Patrick Hays,False,male
354,Claire,50103247,Claire Williams,False,female
355,Whitney,1733220,Whitney L. Cade,False,mostly_male
356,Jennifer,152787206,Jennifer Brown,False,female
357,Andrew,1731622,Andrew Olney,False,male
358,Andreas,9345017,Andreas Löf,False,male
359,Richard,144521114,Richard Nelson,False,male
360,Gerhard,1737089,Gerhard Goos,False,male
361,Juris,1747181,Juris Hartmanis,False,male
362,Jan,143817739,Jan van Leeuwen,False,male
363,David,145491590,David Hutchison,False,male
364,Kiriakos,1734027,Kiriakos N. Kutulakos,False,unknown
365,Rogério,153900854,Rogério Schmidt,False,male
366,Tarsem,34814643,Tarsem S. Purewal,False,female
367,Christian,3208763,Christian Dehlendorff,False,male
368,Alexander,145786124,Alexander Y. Klimenko,False,male
369,Frédéric,1797614,Frédéric de Mesmay,False,male
370,Srinivas,1770479,Srinivas Chellappa,False,male
371,Franz,1803350,Franz Franchetti,False,male
372,Markus,1690697,Markus Püschel,False,male
373,Debalina,9425244,Debalina Barik,False,unknown
374,Manik,39095182,Manik Mondal,False,unknown
375,Ron,144540773,Ron Ho,False,male
376,Frankie,50207641,Frankie Liu,False,andy
377,Dinesh,145404106,Dinesh Patil,False,male
378,Xuezhe,40312648,Xuezhe Zheng,False,unknown
379,Guoliang,23492509,Guoliang Li,False,unknown
380,Ivan,12841278,Ivan Shubin,False,male
381,Elad,1690845,Elad Alon,False,male
382,Jon,1837337,Jon K. Lexau,False,male
383,Herb,2356595,Herb Schwetman,False,male
384,John,50752087,John E. Cunningham,False,male
385,Ashok,3267169,Ashok V. Krishnamoorthy,False,mostly_male
386,Benjamin,1779065,Benjamin A. Burton,False,male
387,Zerrin,70520889,Zerrin Ayvaz Reisa,False,female
388,Hong,143681766,Hong Lin,False,andy
389,Jeremy,48177725,Jeremy Kemp,False,male
390,Padraic,40536775,Padraic Gilbert,False,unknown
391,Marcus,1749127,Marcus Trenton,False,male
392,Duane,144617374,Duane Szafron,False,male
393,Josh,38727432,Josh Friesen,False,male
394,Curtis,1740266,Curtis Onuczko,False,male
395,Gerwin,2369552,Gerwin Schalk,False,male
396,Jürgen,9953894,Jürgen Mellinger,False,male
397,Ling,50055322,Ling Huang,False,andy
398,Jinzhu,2542974,Jinzhu Jia,False,unknown
399,Bin,144923779,Bin Yu,False,andy
400,Byung-Gon,1704157,Byung-Gon Chun,False,unknown
401,Petros,2286904,Petros Maniatis,False,male
402,Mayur,145835621,Mayur Naik,False,unknown
403,Nicole,38610962,Nicole L. Wagner,False,female
404,Khaled,145128672,Khaled Hassanein,False,male
405,Milena,3126302,Milena M. Head,False,female
406,Hui,120241582,Hui Wang,False,andy
407,Yiming,3204686,Yiming Kevin Rong,False,unknown
408,Hui,47893211,Hui Li,False,andy
409,Price,1901529,Price Shaun,False,male
410,Sunha,2223650,Sunha Kim,False,unknown
411,Mido,2176713,Mido Chang,False,unknown
412,Robert,2388276,Robert B. Gramacy,False,male
413,Herbert,1818876,Herbert K. H. Lee,False,male
414,Brandyn,47651035,Brandyn Allen White,False,male
415,Tom,1704158,Tom Yeh,False,male
416,Jimmy,145580837,Jimmy Lin,False,male
417,Larry,145427555,Larry Davis,False,male
418,Kris,143825292,Kris M. Y. Law,False,mostly_male
419,Victor,1709223,Victor Chung Sing Lee,False,male
420,Yuen-Tak,2504738,Yuen-Tak Yu,False,unknown
421,S.,113929788,S. G. Shirinivas,True,unknown
422,Shanmu,5290780,Shanmu Vetrivel,False,unknown
423,N.,144495062,N. M. Elango,True,unknown
424,Stefan,2750634,Stefan Bouckaert,False,male
425,Jono,3103751,Jono Vanhie-Van Gerwen,False,male
426,Ingrid,1701956,Ingrid Moerman,False,female
427,Alexander,1787560,Alexander Kuckelberg,False,male
428,Ekkehard,39084768,Ekkehard Wendler,False,male
429,George,32435350,George Abboud,False,male
430,Jeffrey,2500539,Jeffrey S. Marean,False,male
431,Roman,1976753,Roman V. Yampolskiy,False,male
432,Jeremy,1712042,Jeremy C. Baguyos,False,male
433,Chryssie,1733715,Chryssie Nanou,False,unknown
434,David,145837379,David Wetzel,False,male
435,McGregor,40038621,McGregor Boyle,False,unknown
436,Francisco,1851755,Francisco V. Cipolla Ficarra,False,male
437,Kirill,1750685,Kirill A. Sorudeykin,False,male
438,Jeffrey,2334895,Jeffrey C. Evans,False,male
439,Douglas,3310303,Douglas W. Jacobson,False,male
440,Richard,1712156,Richard P. Brent,False,male
441,Paul,144177715,Paul Zimmermann,False,male
442,Helen,34982398,Helen H. Hu,False,female
443,Jon,1706547,Jon T. Butler,False,male
444,Sameera,9342020,Sameera Chathuranga,False,unknown
445,Kapeel,50660850,Kapeel Samarawickrama,False,unknown
446,H.,9338546,H. M. L. Chandima,True,unknown
447,Kap,40645021,Kap Chathuranga,False,andy
448,A.,144096060,A.M. Harsha S. Abeykoon,True,unknown
449,Manuel,49096088,Manuel E. Macías,False,male
450,Ernesto,69847190,Ernesto D. Guridi,False,male
451,Vikas,49368060,Vikas Gupta,False,male
452,K.,144495401,K. S. Kasana,True,unknown
453,Puneet,34394321,Puneet Tandon,False,unknown
454,Joan,145775700,Joan Oliver,False,female
455,Ricardo,144083430,Ricardo Toledo,False,male
456,Elena,144391358,Elena Valderrama,False,female
457,Jeremy,2360024,Jeremy Levesley,False,male
458,Manolis,1827145,Manolis K. Georgoulis,False,male
459,Min,143953673,Min Lin,False,andy
460,Bin,143824909,Bin Li,False,andy
461,Zhang,2510214,Zhang Yu,False,andy
462,Gin,40283894,Gin Chong Lee,False,unknown
463,Chu,1780187,Chu Kiong Loo,False,andy
464,Leonardo,2369442,Leonardo Soares Bastos,False,male
465,Jim,2567500,Jim X. Chen,False,male
466,Gaurav,143990646,Gaurav Sinha,False,unknown
467,Rahul,2983462,Rahul Shahi,False,male
468,Mani,39541005,Mani Shankar,False,mostly_male
469,Rajesh,143615848,Rajesh P. N. Rao,False,male
470,Jeff,3183289,Jeff Hsu,False,male
471,Prashanth,145588541,Prashanth Mohan,False,unknown
472,Xiaofan,2460885,Xiaofan Jiang,False,unknown
473,Jorge,145926919,Jorge Ortiz,False,male
474,Sushant,144301691,Sushant Shankar,False,unknown
475,Stephen,1402968458,Stephen Dawson-Haggerty,False,male
476,David,1706858,David E. Culler,False,male
477,Markus,144877478,Markus H. Gross,False,male
478,Robert,144408110,Robert Sumner,False,male
479,Nils,1786445,Nils Thürey,False,male
480,Ewa,1808934,Ewa Pietka,False,female
481,Jacek,2767410,Jacek Kawa,False,male
482,Pawel,2281355,Pawel Badura,False,male
483,Dominik,1879475,Dominik Spinczyk,False,male
484,Wen,143724297,Wen Gu,False,andy
485,Xiaogang,2264426,Xiaogang Liu,False,unknown
486,Yi,49021959,Yi Byung Jun,False,andy
487,Jigang,39819765,Jigang Liu,False,unknown
488,Ch.,9177966,Ch. Raghava Prasad,True,unknown
489,Wen-Jung,2491297,Wen-Jung Hsin,False,unknown
490,Norhayati,49617798,Norhayati Mohd Ali,False,unknown
491,J.,47487959,J. G. Hosking,True,unknown
492,John,48013565,John Grundy,False,male
493,Prashan,2129866,Prashan Premaratne,False,unknown
494,Quang,145451131,Quang Nguyen,False,mostly_male
495,Malin,3313164,Malin Premaratne,False,female
496,Anders,2746155,Anders Flaglien,False,male
497,Samuel,1853905,Samuel B. Fee,False,male
498,Amanda,1405618739,Amanda M. Holland-Minkley,False,female
499,Amanda,10624487,Amanda Rotondo,False,female
500,Denise,22856836,Denise Leahy,False,female
501,Dudley,2244165,Dudley Dolan,False,male
502,Raphael,3231762,Raphael Wimmer,False,male
503,Giancarlo,66613491,Giancarlo Giustini,False,male
504,Mauro,2367550,Mauro Andreolini,False,male
505,Michele,1754638,Michele Colajanni,False,female
506,Mario,1722393,Mario Cannataro,False,male
507,Rodrigo,145872341,Rodrigo Weber dos Santos,False,male
508,Joakim,143955180,Joakim Sundnes,False,male
509,Mahendran,46782078,Mahendran Nagalingam,False,male
510,G.,46702276,G. Gurusamy,True,unknown
511,Angela,2719964,Angela Brungs,False,female
512,Rodger,145705797,Rodger Jamieson,False,male
514,M,49752574,M M-H Guo,False,unknown
515,Jairo,145895993,Jairo Camargo,False,male
516,Paul,1812793,Paul Sajda,False,male
517,Eric,2713637,Eric Pohlmeyer,False,male
518,Jun,39811558,Jun Wang,False,mostly_male
519,Barbara,144931365,Barbara Hanna,False,female
520,Lucas,2583773,Lucas C. Parra,False,male
521,Shih-Fu,9546964,Shih-Fu Chang,False,unknown
522,Gang,2096527,Gang Wang,False,andy
523,Ji-xiang,13457230,Ji-xiang Yan,False,unknown
524,Suriati,2262564,Suriati Bte Sadimon,False,unknown
525,Mohd,2036992,Mohd Shahrizal Sunar,False,unknown
526,Dzulkifli,2866464,Dzulkifli Bin Mohamad,False,unknown
527,Habibollah,2208192,Habibollah Haron,False,male
528,Ilkka,1791529,Ilkka Jormanainen,False,male
529,Pauliina,152899078,Pauliina Korhonen,False,female
530,Xiaodong,8121948,Xiaodong Gong,False,unknown
531,J.,145694017,J. David Smith,True,unknown
532,T.,144211864,T. C. Nicholas Graham,True,unknown
533,Jun,46880917,Jun Hao Geng,False,mostly_male
534,Xi,49103312,Xi Tian Tian,False,andy
535,Nikolay,3205564,Nikolay Stefanov,False,male
536,Angelika,1794151,Angelika Peer,False,female
537,Martin,20631844,Martin Buss,False,male
538,Michael,1679615,Michael T. Goodrich,False,male
539,Roberto,1751948,Roberto Tamassia,False,male
540,Liu,49701099,Liu Bing,False,andy
541,Ming-Xin,31968064,Ming-Xin Yang,False,andy
542,Li-Na,49785093,Li-Na Yuan,False,andy
543,Zhi-Xia,1898671,Zhi-Xia Yang,False,andy
544,Ming,47474380,Ming Zhang,False,andy
545,Virginia,144421515,Virginia Mary Lo,False,female
546,John,69473643,John F. Shoch,False,male
547,Andrew,33666044,Andrew W. Senior,False,male
548,Alejandro,144633617,Alejandro Jaimes,False,male
549,Mikhail,145107508,Mikhail H. Klin,False,male
550,Christian,7949923,Christian Pech,False,male
551,Sven,145824737,Sven Reichard,False,male
552,Andrew,3192240,Andrew J. Woldar,False,male
553,Matan,1403285832,Matan Ziv-Av,False,male
554,리보,1417390779,리보 마이클제이.,False,unknown
555,푸칸,71723000,푸칸 프라센지트,False,unknown
